customer_id,age,occupation_status,years_employed,annual_income,credit_score,credit_history_years,savings_assets,current_debt,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,product_type,loan_intent,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio,loan_status
CUST100001,33.0,Employed,7.3,43087.0,627.0,3.5,169.0,16550.0,0.0,1.0,0.0,Personal Loan,Home Improvement,53300.0,14.1,0.38410657506904633,1.237032051430826,412.0,0
CUST100002,42.0,Student,1.1,20840.0,689.0,8.4,17.0,7852.0,0.0,0.0,0.0,Credit Card,Debt Consolidation,2100.0,18.33,0.37677543186180423,0.10076775431861804,34.0,1
CUST100003,53.0,Student,0.5,29147.0,692.0,9.8,1480.0,11603.0,0.0,1.0,0.0,Credit Card,Business,2900.0,18.74,0.3980855662675404,0.09949565993069613,33.0,1
CUST100004,32.0,Employed,12.5,63657.0,630.0,7.2,209.0,12424.0,0.0,0.0,0.0,Personal Loan,Education,99600.0,13.92,0.19517099454891057,1.564635468212451,522.0,1
CUST100005,32.0,Employed,13.4,32015.0,570.0,7.3,253.0,1120.0,0.0,0.0,2.0,Credit Card,Personal,37000.0,22.92,0.03498360143682649,1.1557082617523036,385.0,0
CUST100006,53.0,Employed,22.9,44989.0,674.0,11.1,19667.0,19298.0,0.0,0.0,0.0,Personal Loan,Home Improvement,45600.0,11.02,0.4289492987174643,1.013581097601636,338.0,1
CUST100007,44.0,Self-Employed,4.2,80603.0,625.0,18.5,830.0,38382.0,0.0,0.0,0.0,Credit Card,Personal,51700.0,19.42,0.47618574991005297,0.6414153319355359,214.0,1
CUST100008,29.0,Employed,5.9,28416.0,569.0,2.6,1334.0,22668.0,1.0,2.0,0.0,Credit Card,Education,33800.0,22.72,0.7977195945945946,1.1894707207207207,396.0,0
CUST100009,41.0,Employed,7.0,70717.0,638.0,21.5,1578.0,21394.0,0.0,1.0,0.0,Credit Card,Personal,70000.0,19.35,0.3025298018863922,0.9898609952345263,0.33,1
CUST100010,29.0,Employed,5.0,15000.0,657.0,8.9,2105.0,3866.0,0.0,0.0,0.0,Line of Credit,Education,5000.0,9.24,0.2577333333333333,0.3333333333333333,111.0,1
CUST100011,29.0,Student,1.3,17029.0,668.0,4.3,215.0,5592.0,0.0,0.0,0.0,Line of Credit,Personal,6300.0,9.69,0.32838099712255564,0.3699571319513771,123.0,1
CUST100012,37.0,Employed,1.3,49084.0,580.0,11.3,1289.0,21106.0,0.0,0.0,1.0,Line of Credit,Medical,40800.0,13.12,0.4299975552114742,0.8312280987694565,277.0,0
CUST100013,18.0,Employed,0.0,55958.0,681.0,1.4,378.0,14090.0,0.0,0.0,0.0,Credit Card,Education,18000.0,17.78,0.25179598984953,0.32166982379641873,107.0,1
CUST100014,18.0,Self-Employed,1.0,99020.0,561.0,1.6,538.0,13733.0,0.0,1.0,1.0,Credit Card,Medical,35700.0,21.57,0.13868915370632195,0.36053322561098766,0.12,0
CUST100015,28.0,Employed,0.4,59609.0,654.0,2.6,881.0,9183.0,0.0,0.0,0.0,Credit Card,Debt Consolidation,19500.0,17.33,0.15405391803251187,0.3271318089550236,109.0,1
