n_estimators,learning_rate,max_depth,min_child_weight,val_auc,best_threshold,fn,fp,fp_fn_ratio,total_errors,balance_score,auc_rank,error_rank,balance_rank,composite_score
500,0.1,3,7,0.9717540811165098,0.28000000000000014,88,404,4.590909090909091,492,624.0,1.0,4.0,5.0,3.1
400,0.1,3,7,0.9716816594139889,0.29000000000000015,93,395,4.247311827956989,488,627.5,2.0,1.0,9.0,3.8
500,0.07,3,5,0.9714448339805215,0.28000000000000014,82,418,5.097560975609756,500,623.0,5.0,17.5,4.0,8.45
400,0.07,4,5,0.971387122936325,0.28000000000000014,90,403,4.477777777777778,493,628.0,8.0,8.0,10.0,8.6
500,0.07,4,5,0.9713989237941019,0.28000000000000014,92,401,4.358695652173913,493,631.0,7.0,8.0,14.0,9.4
500,0.1,3,3,0.9714230104764136,0.2600000000000001,75,430,5.733333333333333,505,617.5,6.0,24.5,1.0,10.05
300,0.1,3,7,0.9715815946062644,0.30000000000000016,94,400,4.25531914893617,494,635.0,3.0,10.0,30.0,13.2
500,0.1,3,5,0.971354953474714,0.27000000000000013,86,418,4.8604651162790695,504,633.0,11.0,21.5,22.0,17.450000000000003
400,0.1,3,1,0.9712519788664419,0.28000000000000014,91,407,4.472527472527473,498,634.5,18.0,14.0,28.0,19.8
400,0.07,3,5,0.9712261139726844,0.30000000000000016,90,409,4.544444444444444,499,634.0,21.0,15.5,25.0,20.55
500,0.07,3,1,0.9712371065525315,0.28000000000000014,84,422,5.023809523809524,506,632.0,20.0,28.0,18.0,21.799999999999997
500,0.05,3,5,0.9708913252541105,0.30000000000000016,87,405,4.655172413793103,492,622.5,52.0,4.0,3.0,22.9
400,0.1,3,5,0.9713416977166633,0.2600000000000001,80,432,5.4,512,632.0,13.0,49.0,18.0,25.299999999999997
400,0.1,3,3,0.9713864763139811,0.2500000000000001,68,451,6.632352941176471,519,621.0,9.0,75.5,2.0,26.85
500,0.07,3,7,0.9715521732896151,0.2600000000000001,74,445,6.013513513513513,519,630.0,4.0,75.5,12.0,27.85
500,0.07,3,3,0.9713523669853383,0.2600000000000001,77,439,5.701298701298701,516,631.5,12.0,61.5,16.0,28.05
400,0.07,4,7,0.9711709894178637,0.28000000000000014,93,406,4.365591397849462,499,638.5,25.0,15.5,48.0,29.049999999999997
500,0.1,3,1,0.9712456742985887,0.2600000000000001,81,431,5.320987654320987,512,633.5,19.0,49.0,23.0,29.2
300,0.1,3,5,0.9710604169970503,0.27000000000000013,76,436,5.7368421052631575,512,626.0,32.0,49.0,8.0,29.9
400,0.07,3,7,0.971157248693055,0.28000000000000014,81,430,5.308641975308642,511,632.5,27.0,45.0,20.5,30.45
500,0.05,3,1,0.9710261460128216,0.28000000000000014,75,438,5.84,513,625.5,36.0,53.5,7.0,32.550000000000004
300,0.07,4,5,0.9711488426025839,0.28000000000000014,84,426,5.071428571428571,510,636.0,28.0,41.5,33.5,33.699999999999996
400,0.05,4,5,0.9709942998623826,0.29000000000000015,90,412,4.5777777777777775,502,637.0,39.0,19.0,41.5,33.75
500,0.07,4,3,0.9712833400501231,0.27000000000000013,89,418,4.696629213483146,507,640.5,15.0,31.5,63.0,34.349999999999994
500,0.05,3,7,0.9709786192705421,0.28000000000000014,74,440,5.945945945945946,514,625.0,40.0,57.0,6.0,34.89999999999999
400,0.07,4,3,0.9712686293917984,0.27000000000000013,89,418,4.696629213483146,507,640.5,17.0,31.5,63.0,35.15
500,0.05,3,3,0.9709622920563576,0.28000000000000014,77,436,5.662337662337662,513,628.5,45.0,53.5,11.0,37.349999999999994
500,0.05,4,1,0.9711178047300748,0.2600000000000001,77,440,5.714285714285714,517,632.5,30.0,65.5,20.5,37.8
300,0.07,4,7,0.9709676266906951,0.28000000000000014,85,424,4.988235294117647,509,636.5,41.0,38.0,37.5,39.050000000000004
400,0.07,3,1,0.9711221694308965,0.28000000000000014,83,430,5.180722891566265,513,637.5,29.0,53.5,43.0,40.550000000000004
300,0.07,5,3,0.9709210698819315,0.2600000000000001,78,436,5.589743589743589,514,631.0,49.0,57.0,14.0,40.900000000000006
400,0.07,4,1,0.971281723494263,0.2500000000000001,75,447,5.96,522,634.5,16.0,90.0,28.0,41.8
500,0.07,5,3,0.9710235595234458,0.2500000000000001,79,438,5.544303797468355,517,635.5,37.5,65.5,31.5,44.099999999999994
400,0.07,5,3,0.9710235595234458,0.2500000000000001,79,438,5.544303797468355,517,635.5,37.5,65.5,31.5,44.099999999999994
400,0.07,5,1,0.970831997654054,0.28000000000000014,89,416,4.674157303370786,505,638.5,62.0,24.5,48.0,46.55
500,0.07,5,1,0.970831997654054,0.28000000000000014,89,416,4.674157303370786,505,638.5,62.0,24.5,48.0,46.55
300,0.07,5,1,0.970831997654054,0.28000000000000014,89,416,4.674157303370786,505,638.5,62.0,24.5,48.0,46.55
500,0.05,4,5,0.9713738671782743,0.2600000000000001,78,444,5.6923076923076925,522,639.0,10.0,90.0,55.0,47.5
400,0.05,4,3,0.9707736399875138,0.30000000000000016,98,395,4.030612244897959,493,640.0,68.0,8.0,60.0,47.6
500,0.05,4,7,0.9711010733769253,0.2600000000000001,77,444,5.766233766233766,521,636.5,31.0,85.0,37.5,49.15
500,0.07,4,1,0.9712906145514922,0.24000000000000007,70,459,6.557142857142857,529,634.0,14.0,127.0,25.0,51.2
500,0.07,4,7,0.9711865083541181,0.2500000000000001,79,442,5.594936708860759,521,639.5,22.0,85.0,58.5,51.849999999999994
400,0.05,5,5,0.9707138274206994,0.2600000000000001,80,432,5.4,512,632.0,80.0,49.0,18.0,52.1
500,0.05,5,5,0.9707343576801195,0.2600000000000001,82,429,5.2317073170731705,511,634.0,78.0,45.0,25.0,52.2
400,0.05,5,1,0.9709230097489634,0.2600000000000001,81,436,5.382716049382716,517,638.5,48.0,65.5,48.0,53.25
300,0.1,3,3,0.9711608859437396,0.2500000000000001,66,466,7.0606060606060606,532,631.0,26.0,141.0,14.0,56.9
400,0.05,4,1,0.9708997313445817,0.28000000000000014,83,433,5.216867469879518,516,640.5,51.0,61.5,63.0,57.75
300,0.1,4,7,0.97085511440285,0.2500000000000001,77,444,5.766233766233766,521,636.5,55.0,85.0,37.5,58.75
500,0.1,4,7,0.97085511440285,0.2500000000000001,77,444,5.766233766233766,521,636.5,55.0,85.0,37.5,58.75
400,0.05,4,7,0.9708088809052583,0.29000000000000015,91,416,4.571428571428571,507,643.5,64.0,31.5,79.0,58.75
400,0.1,4,7,0.97085511440285,0.2500000000000001,77,444,5.766233766233766,521,636.5,55.0,85.0,37.5,58.75
400,0.07,3,3,0.9711823053088826,0.2600000000000001,72,457,6.347222222222222,529,637.0,23.0,127.0,41.5,59.75
500,0.05,4,3,0.9711756774298572,0.2600000000000001,78,446,5.717948717948718,524,641.0,24.0,101.5,66.5,60.0
