customer_id,age,occupation_status,years_employed,annual_income,credit_score,credit_history_years,savings_assets,current_debt,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,product_type,loan_intent,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio,loan_status
CUST100000,40.0,Employed,17.2,25579.0,692.0,5.3,895.0,10820.0,0.0,0.0,0.0,Credit Card,Business,600.0,17.02,423.0,23.0,8.0,1.0
CUST100001,33.0,Employed,7.3,43087.0,627.0,3.5,169.0,16550.0,0.0,1.0,0.0,Personal Loan,Home Improvement,53300.0,14.1,384.0,1237.0,412.0,0.0
CUST100002,42.0,Student,1.1,20840.0,689.0,8.4,17.0,7852.0,0.0,0.0,0.0,Credit Card,Debt Consolidation,2100.0,18.33,377.0,101.0,34.0,1.0
CUST100003,53.0,Student,0.5,29147.0,692.0,9.8,1480.0,11603.0,0.0,1.0,0.0,Credit Card,Business,2900.0,18.74,398.0,99.0,33.0,1.0
CUST100004,32.0,Employed,12.5,63657.0,630.0,7.2,209.0,12424.0,0.0,0.0,0.0,Personal Loan,Education,99600.0,13.92,195.0,1565.0,522.0,1.0
CUST100005,32.0,Employed,13.4,32015.0,570.0,7.3,253.0,1120.0,0.0,0.0,2.0,Credit Card,Personal,37000.0,22.92,35.0,1156.0,385.0,0.0
CUST100006,53.0,Employed,22.9,44989.0,674.0,11.1,19667.0,19298.0,0.0,0.0,0.0,Personal Loan,Home Improvement,45600.0,11.02,429.0,1014.0,338.0,1.0
CUST100007,44.0,Self-Employed,4.2,80603.0,625.0,18.5,830.0,38382.0,0.0,0.0,0.0,Credit Card,Personal,51700.0,19.42,476.0,641.0,214.0,1.0
CUST100008,29.0,Employed,5.9,28416.0,569.0,2.6,1334.0,22668.0,1.0,2.0,0.0,Credit Card,Education,33800.0,22.72,798.0,1189.0,396.0,0.0
CUST100009,41.0,Employed,7.0,70717.0,638.0,21.5,1578.0,21394.0,0.0,1.0,0.0,Credit Card,Personal,70000.0,19.35,303.0,0.99,0.33,1.0
CUST100010,29.0,Employed,5.0,15000.0,657.0,8.9,2105.0,3866.0,0.0,0.0,0.0,Line of Credit,Education,5000.0,9.24,258.0,333.0,111.0,1.0
CUST100011,29.0,Student,1.3,17029.0,668.0,4.3,215.0,5592.0,0.0,0.0,0.0,Line of Credit,Personal,6300.0,9.69,328.0,0.37,123.0,1.0
CUST100012,37.0,Employed,1.3,49084.0,580.0,11.3,1289.0,21106.0,0.0,0.0,1.0,Line of Credit,Medical,40800.0,13.12,0.43,831.0,277.0,0.0
CUST100013,18.0,Employed,0.0,55958.0,681.0,1.4,378.0,14090.0,0.0,0.0,0.0,Credit Card,Education,18000.0,17.78,252.0,322.0,107.0,1.0
CUST100014,18.0,Self-Employed,1.0,99020.0,561.0,1.6,538.0,13733.0,0.0,1.0,1.0,Credit Card,Medical,35700.0,21.57,139.0,361.0,0.12,0.0
CUST100015,28.0,Employed,0.4,59609.0,654.0,2.6,881.0,9183.0,0.0,0.0,0.0,Credit Card,Debt Consolidation,19500.0,17.33,154.0,327.0,109.0,1.0
CUST100016,22.0,Self-Employed,1.0,82604.0,605.0,3.5,9216.0,16116.0,0.0,0.0,0.0,Line of Credit,Personal,50000.0,12.57,195.0,605.0,202.0,1.0
CUST100017,38.0,Employed,5.3,53356.0,671.0,19.8,6339.0,23085.0,0.0,1.0,0.0,Credit Card,Debt Consolidation,18700.0,17.58,433.0,0.35,117.0,1.0
CUST100018,24.0,Employed,5.4,18675.0,531.0,3.3,11.0,3280.0,0.0,2.0,0.0,Credit Card,Medical,9500.0,22.49,176.0,509.0,0.17,0.0
CUST100019,18.0,Self-Employed,1.0,55309.0,597.0,1.5,346.0,2930.0,0.0,0.0,0.0,Personal Loan,Debt Consolidation,50400.0,16.13,53.0,911.0,304.0,0.0
CUST100020,52.0,Employed,31.3,75932.0,695.0,2.1,1283.0,10655.0,0.0,0.0,0.0,Personal Loan,Home Improvement,96000.0,11.05,0.14,1264.0,421.0,1.0
CUST100021,32.0,Employed,1.3,109702.0,720.0,10.4,2790.0,42534.0,0.0,0.0,0.0,Credit Card,Personal,4000.0,17.41,388.0,36.0,12.0,1.0
CUST100022,35.0,Employed,16.9,68117.0,698.0,16.3,549.0,20450.0,0.0,0.0,0.0,Credit Card,Home Improvement,16400.0,17.7,0.3,241.0,0.08,1.0
CUST100023,18.0,Student,0.3,33556.0,574.0,1.5,91.0,10727.0,0.0,1.0,1.0,Credit Card,Business,3400.0,21.47,0.32,101.0,34.0,0.0
CUST100024,28.0,Self-Employed,5.4,59899.0,567.0,3.2,20476.0,27393.0,0.0,0.0,0.0,Line of Credit,Medical,31700.0,14.98,457.0,529.0,176.0,0.0
CUST100025,36.0,Employed,6.8,55609.0,651.0,16.9,1896.0,16140.0,0.0,0.0,0.0,Personal Loan,Education,69400.0,12.97,0.29,1248.0,416.0,1.0
CUST100026,21.0,Employed,2.9,31219.0,656.0,1.0,54.0,5261.0,0.0,0.0,0.0,Credit Card,Business,19400.0,17.94,169.0,621.0,207.0,1.0
CUST100027,39.0,Employed,0.0,43085.0,579.0,3.5,206.0,359.0,0.0,4.0,1.0,Personal Loan,Medical,82800.0,15.68,8.0,1922.0,641.0,0.0
CUST100028,27.0,Employed,6.2,23613.0,594.0,2.9,320.0,3017.0,1.0,1.0,0.0,Personal Loan,Debt Consolidation,26400.0,15.68,128.0,1118.0,373.0,0.0
CUST100029,31.0,Employed,12.9,21376.0,632.0,8.0,3388.0,5083.0,0.0,1.0,1.0,Line of Credit,Education,6200.0,12.25,238.0,0.29,97.0,1.0
CUST100030,27.0,Employed,6.2,32073.0,619.0,8.0,274.0,6458.0,0.0,0.0,0.0,Personal Loan,Medical,50600.0,13.03,201.0,1578.0,526.0,1.0
CUST100031,57.0,Self-Employed,21.5,38484.0,696.0,10.5,4316.0,18674.0,0.0,1.0,0.0,Line of Credit,Medical,18500.0,9.95,485.0,481.0,0.16,0.0
CUST100032,34.0,Employed,10.7,27886.0,623.0,6.8,110.0,2991.0,0.0,1.0,0.0,Personal Loan,Home Improvement,45300.0,13.91,107.0,1624.0,541.0,0.0
CUST100033,22.0,Employed,3.9,36867.0,607.0,2.8,82.0,7111.0,0.0,1.0,0.0,Credit Card,Home Improvement,44700.0,20.18,193.0,1212.0,404.0,0.0
CUST100034,44.0,Employed,18.7,92711.0,671.0,0.8,3851.0,14546.0,0.0,0.0,0.0,Personal Loan,Personal,100000.0,12.14,157.0,1079.0,0.36,1.0
CUST100035,20.0,Employed,1.0,21651.0,703.0,1.7,52.0,12414.0,0.0,1.0,0.0,Credit Card,Personal,30000.0,16.23,573.0,1386.0,462.0,0.0
CUST100036,37.0,Employed,4.7,48193.0,523.0,2.7,257.0,2464.0,0.0,0.0,0.0,Personal Loan,Education,64500.0,16.85,51.0,1338.0,446.0,0.0
CUST100037,18.0,Employed,0.0,18730.0,618.0,0.4,0.0,3908.0,0.0,0.0,0.0,Personal Loan,Debt Consolidation,7000.0,13.76,209.0,374.0,125.0,0.0
CUST100038,19.0,Employed,0.2,38696.0,546.0,0.9,36.0,10868.0,0.0,0.0,0.0,Credit Card,Education,2400.0,21.08,281.0,62.0,21.0,1.0
CUST100039,37.0,Employed,1.2,55961.0,704.0,1.8,131.0,4799.0,0.0,0.0,0.0,Line of Credit,Home Improvement,27000.0,8.94,86.0,482.0,161.0,1.0
CUST100040,43.0,Employed,19.1,36496.0,589.0,18.2,463.0,7873.0,0.0,1.0,0.0,Credit Card,Personal,44300.0,22.33,216.0,1214.0,405.0,0.0
CUST100041,37.0,Employed,7.0,54983.0,744.0,7.2,399.0,6316.0,0.0,0.0,1.0,Personal Loan,Education,100000.0,10.27,115.0,1819.0,606.0,1.0
CUST100042,33.0,Employed,3.2,15000.0,688.0,7.6,459.0,2587.0,0.0,0.0,0.0,Credit Card,Home Improvement,6000.0,18.5,172.0,0.4,133.0,1.0
CUST100043,31.0,Employed,10.0,51632.0,677.0,11.0,3117.0,32886.0,0.0,0.0,0.0,Credit Card,Personal,59700.0,18.54,637.0,1156.0,385.0,0.0
CUST100044,18.0,Employed,0.0,17747.0,666.0,0.1,2.0,3846.0,0.0,0.0,0.0,Credit Card,Personal,24300.0,17.69,217.0,1369.0,456.0,0.0
CUST100045,26.0,Self-Employed,1.3,33606.0,675.0,1.4,258.0,3586.0,0.0,1.0,1.0,Personal Loan,Personal,23700.0,11.73,107.0,705.0,235.0,0.0
CUST100046,29.0,Employed,4.6,23699.0,646.0,3.2,105.0,5021.0,0.0,1.0,0.0,Credit Card,Education,27100.0,20.09,212.0,1144.0,381.0,1.0
CUST100047,47.0,Student,0.0,15000.0,698.0,5.1,154.0,3399.0,0.0,0.0,0.0,Personal Loan,Home Improvement,25400.0,11.74,227.0,1693.0,564.0,1.0
CUST100048,39.0,Employed,17.4,23955.0,542.0,4.6,422.0,4766.0,0.0,0.0,0.0,Credit Card,Business,33300.0,21.39,199.0,1.39,463.0,0.0
CUST100049,18.0,Employed,0.0,48420.0,636.0,0.7,12.0,20570.0,0.0,0.0,0.0,Line of Credit,Business,41600.0,12.71,425.0,859.0,286.0,0.0
CUST100050,38.0,Employed,7.8,47368.0,659.0,1.1,15.0,10330.0,0.0,0.0,0.0,Line of Credit,Education,37600.0,9.95,218.0,794.0,265.0,1.0
CUST100051,30.0,Employed,10.8,60218.0,719.0,10.8,1120.0,20999.0,0.0,1.0,0.0,Line of Credit,Debt Consolidation,40800.0,9.41,349.0,678.0,226.0,1.0
CUST100052,26.0,Employed,4.7,49924.0,675.0,6.4,333.0,7730.0,0.0,0.0,0.0,Credit Card,Debt Consolidation,47000.0,18.99,155.0,941.0,314.0,1.0
CUST100053,42.0,Employed,19.3,49881.0,620.0,17.9,17865.0,8324.0,0.0,0.0,0.0,Credit Card,Medical,10000.0,20.46,167.0,0.2,67.0,1.0
CUST100054,47.0,Self-Employed,4.2,172243.0,820.0,3.3,85551.0,10893.0,0.0,0.0,0.0,Line of Credit,Business,41700.0,6.31,63.0,242.0,81.0,1.0
CUST100055,46.0,Self-Employed,3.6,148299.0,734.0,0.1,138.0,69079.0,0.0,0.0,0.0,Credit Card,Education,70000.0,15.86,466.0,472.0,157.0,1.0
CUST100056,24.0,Employed,2.1,34736.0,594.0,0.4,29.0,2283.0,0.0,2.0,0.0,Credit Card,Education,43600.0,22.43,66.0,1255.0,418.0,0.0
CUST100057,31.0,Employed,8.8,46820.0,550.0,5.9,316.0,17814.0,0.0,0.0,0.0,Credit Card,Business,9700.0,21.29,0.38,207.0,69.0,0.0
CUST100058,38.0,Employed,3.3,32568.0,640.0,10.8,3073.0,7636.0,1.0,1.0,0.0,Personal Loan,Education,11400.0,14.71,234.0,0.35,117.0,0.0
CUST100059,46.0,Employed,1.8,50953.0,709.0,17.9,9578.0,9420.0,0.0,1.0,0.0,Line of Credit,Debt Consolidation,16300.0,7.82,185.0,0.32,107.0,1.0
CUST100060,29.0,Employed,10.7,35025.0,607.0,0.4,6.0,15760.0,0.0,2.0,0.0,Credit Card,Business,26100.0,19.02,0.45,745.0,248.0,0.0
CUST100061,32.0,Employed,4.1,25546.0,570.0,7.4,18406.0,3482.0,0.0,0.0,0.0,Personal Loan,Education,20200.0,15.89,136.0,791.0,264.0,1.0
CUST100062,21.0,Employed,1.9,47404.0,778.0,0.5,140.0,16632.0,0.0,0.0,0.0,Credit Card,Debt Consolidation,47400.0,15.29,351.0,1.0,333.0,1.0
CUST100063,20.0,Employed,1.3,26639.0,485.0,1.5,207.0,10305.0,0.0,0.0,0.0,Personal Loan,Home Improvement,16000.0,15.16,387.0,601.0,0.2,0.0
CUST100064,44.0,Employed,1.0,36482.0,681.0,1.7,47.0,3615.0,0.0,0.0,0.0,Line of Credit,Education,23700.0,9.97,99.0,0.65,217.0,1.0
CUST100065,51.0,Employed,18.7,34543.0,592.0,30.0,52072.0,6288.0,0.0,0.0,1.0,Credit Card,Business,23000.0,22.49,182.0,666.0,222.0,0.0
CUST100066,34.0,Employed,3.2,87591.0,681.0,7.8,325.0,31229.0,0.0,1.0,0.0,Credit Card,Personal,21000.0,17.93,357.0,0.24,0.08,1.0
CUST100067,47.0,Employed,2.6,34455.0,774.0,24.5,3635.0,7696.0,0.0,1.0,0.0,Credit Card,Education,46700.0,14.68,223.0,1355.0,452.0,1.0
CUST100068,39.0,Employed,8.3,37923.0,595.0,18.5,895.0,20363.0,0.0,0.0,0.0,Personal Loan,Debt Consolidation,48300.0,16.66,537.0,1274.0,425.0,0.0
CUST100069,27.0,Employed,7.1,61606.0,675.0,4.3,1039.0,4719.0,0.0,0.0,0.0,Line of Credit,Home Improvement,23400.0,10.67,77.0,0.38,127.0,1.0
CUST100070,39.0,Employed,20.4,31003.0,702.0,0.9,104.0,6705.0,0.0,0.0,0.0,Line of Credit,Personal,8600.0,8.1,216.0,277.0,92.0,1.0
CUST100071,53.0,Employed,17.3,57938.0,697.0,10.0,8553.0,38346.0,0.0,0.0,0.0,Credit Card,Personal,59100.0,18.67,662.0,1.02,0.34,0.0
CUST100072,34.0,Employed,14.2,63302.0,649.0,13.7,8611.0,17651.0,0.0,0.0,0.0,Personal Loan,Medical,56300.0,14.8,279.0,889.0,296.0,1.0
CUST100073,53.0,Employed,33.1,43747.0,702.0,26.7,642.0,7077.0,0.0,0.0,0.0,Personal Loan,Medical,38100.0,11.28,162.0,871.0,0.29,1.0
CUST100074,18.0,Employed,0.0,15000.0,613.0,1.9,59.0,6782.0,0.0,1.0,0.0,Personal Loan,Personal,9600.0,14.93,452.0,0.64,213.0,0.0
CUST100075,44.0,Employed,3.8,52442.0,714.0,6.6,552.0,20939.0,0.0,0.0,0.0,Line of Credit,Business,42600.0,8.11,399.0,812.0,271.0,0.0
CUST100076,36.0,Employed,5.6,15000.0,615.0,0.9,42.0,2352.0,0.0,0.0,0.0,Credit Card,Home Improvement,800.0,19.44,157.0,53.0,18.0,1.0
CUST100077,31.0,Employed,5.0,17124.0,595.0,12.8,342.0,2153.0,0.0,0.0,0.0,Credit Card,Medical,20700.0,21.79,126.0,1209.0,403.0,0.0
CUST100078,36.0,Employed,8.2,60707.0,569.0,13.1,1319.0,10760.0,0.0,1.0,0.0,Credit Card,Debt Consolidation,7400.0,22.05,177.0,122.0,41.0,0.0
CUST100079,18.0,Self-Employed,1.0,72070.0,546.0,0.6,25.0,11549.0,0.0,0.0,0.0,Line of Credit,Education,26500.0,13.09,0.16,368.0,123.0,1.0
